abbreviation	keggId	pubChemId	cheBlId	hmdb
ethamp	C00346	1015	17553	HMDB0000224
gpi_sig				
hretn	C16677	6438629	63795	HMDB0006254
kdn		22833524		HMDB0000425
m3gacpail_prot_hs				
melanin	C05606	6325610		HMDB0004068
mem2emgacpail_prot_hs				
n5m2masn				
oretn		104857		
Ser_Thr				
sprm	C00750	1103	15746	HMDB0001256
sTn_antigen	G00035			
yvite		92729		
dmantipyrine	C13008	70335	31530	HMDB0006240
dmpp	C00235	647	16057	HMDB0001120
ipdp	C00129	1195	16584	HMDB0001347
grdp	C00341	445995	17211	HMDB0001285
sarcs	C00213	1088	15611	HMDB0000271
dmhptcoa				
dmhptcrn		53477823	84095	HMDB0006320
dnad	C00857	165491	18304	HMDB0001179
dna	C00039		16991	
dna5mtc	C02967			
seasmet	C05691	24892761		HMDB0011118
seahcys	C05692	16682731		HMDB0011117
dtdp	C00363	164628	18075	HMDB0001274
dudp	C01346	145729	28850	HMDB0001000
dutp	C00460	65070	17625	HMDB0001191
lyxnt	C05412	644110		
xylnt	C05411	6971043	48092	HMDB0060256
thrnt	C01620	151152	49059	HMDB0000943
eryth	C02045	5460032	27913	HMDB0006293
g3m8mpdol_L	G00008			
doldp_L	C00621	5462166	15750	HMDB0001513
g3m8masn				
g3m8mpdol_U				
doldp_U				
dolglcp_L	C01246	22833557	15812	HMDB0001054
dolglcp_U				
m8mpdol_L				
g1m8mpdol_L	G10598			
m8mpdol_U				
g1m8mpdol_U				
g2m8mpdol_L	G10599			
g2m8mpdol_U				
m4mpdol_L	C05864		37633	
m5mpdol_L				
m4mpdol_U				
m5mpdol_U				
m6mpdol_L				
m6mpdol_U				
m7mpdol_L				
m7mpdol_U				
2c23dh56dhoxin	C05604	161255	60872	HMDB0004067
dopaqn	C00822	439316	16852	HMDB0001229
dopasf	C13690	122136	37946	HMDB0006275
orn_D	C00515	71082	16176	HMDB0003374
5a2opntn	C01110	439402	49268	HMDB0006272
dpcoa	C00882	439335	15468	HMDB0001373
23dpg	C01159	186004	17720	HMDB0001294
5dpmev	C01143	439418	15899	HMDB0001090
frdp	C00448	445713	17407	HMDB0000961
pro_D	C00763	8988	16313	HMDB0003411
1p2cbxl	C03564	440046	36761	HMDB0006875
2dr5p	C00673	45934311	16132	HMDB0001031
g3p	C00118	729	29052	
dtmp	C00364	9700	17013	HMDB0001227
thym	C00178	1135	17821	HMDB0000262
eaflatoxin	C19586	104756	30725	HMDB0006558
ebastineoh				
ebastine		3191	31528	HMDB0060159
ecgon	C10858	443003	708641	HMDB0006548
pecgon		443845		
3hbcoa	C01144	439419		HMDB0062259
3hmbcoa	C04405	440326	15449	HMDB0001356
eicostetcrn				
eicostet		11722594	71488	HMDB0002177
elaidcrn		53477837	86038	HMDB0006464
elaid	C00712	445639	27997	HMDB0000573
s2l2n2m2m				
s2l2n2m2mn				
n2m2nm				
ksi_deg2				
ksi_deg3				
g1m8masn				
glc1man	C04147	440240	27554	HMDB0060068
m7masnA				
g2m8masn				
glc2man				
glc3man				
g1m7masnC				
m6masnC				
g1m7masnB				
m6masnB2				
g1m6masnB1				
m5masnB1				
2pg	C00631	439278	17835	HMDB0003391
2ameph	C03557	339	15573	HMDB0011747
cmp2amep	C05673	440754		HMDB0060067
estradiolglc	C05503	13783824	36489	HMDB0006224
estradiol	C00951	5757	16469	HMDB0000151
estriolglc	C05504	122281		HMDB0006766
estriol	C05141	5756	27974	HMDB0000153
estroneglc	C11133	115255	28919	HMDB0004483
estrones	C02538	3001028	17474	HMDB0001425
estrone	C00468	5870	17263	HMDB0000145
etfox				
etfrd				
etha	C00189	700	16000	HMDB0000149
11_cis_retfa				
13_cis_retnglc		5281877		
1glyc_hs				
9_cis_retfa				
adprbp	C03246	439957	37463	HMDB0006336
fe2	C14818	27284	29033	HMDB0000692
fe3	C14819	29936	29034	HMDB0012943
fol	C00504	6037	27470	HMDB0000121
fru	C02336	439709	28645	HMDB0000660
fuc13galacglcgal14acglcgalgluside_hs	G00076			
fuc14galacglcgalgluside_hs				
fucacgalfucgalacglcgalgluside_hs	G00043			
fucacngal14acglcgalgluside_hs	G00063			
fucacngalacglcgalgluside_hs				
fucfuc12gal14acglcgalgluside_hs				
fucfuc132galacglcgal14acglcgalgluside_hs				
fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs				
fucfucfucgalacglcgal14acglcgalgluside_hs				
fucfucgalacglcgalgluside_hs				
fucgal14acglcgalgluside_hs				
fucgalfucgalacglcgalgluside_hs				
fucgalgbside_hs				
fuc_L	C01019	17106	2181	HMDB0000174
gal	C00984	439357	28061	HMDB0000143
gam	C00329	439213	5417	HMDB0001514
gd1b2_hs				
gd1c_hs	G00126			
gluala	C03740	440103	50619	HMDB0006248
glyc	C00116	753	17522	HMDB0000131
glyc_S		6326776	74324	HMDB0006372
glygn5				
gmp	C00144	6804	17345	HMDB0001397
gp1c_hs				
gp1calpha_hs				
gq1b_hs	C06139		27515	
gq1balpha_hs	G00129			
gsn	C00387	6802	16750	HMDB0000133
gt1a_hs	C06138		27691	
gua	C00242	764	16235	HMDB0000132
ha	C00518	53477741		HMDB0002061
ha_pre1	C04794	440484	16126	HMDB0060071
hcoumarin	C09315	5281426	27510	HMDB0029865
hdca	C00249	985	15756	HMDB0000220
hdcea	C08362	445638	28716	HMDB0003229
hestratriol	C14209	44348689		HMDB0005896
hexc		10469	31009	HMDB0002356
his_L	C00135	6274	15971	HMDB0000177
hista	C00388	774	18295	HMDB0000870
hom_L	C00263	12647	15699	HMDB0000719
hpdca		10465	32365	HMDB0002259
hspg				
htaxol			63859	
hxan	C00262	790	17368	HMDB0000157
ile_L	C00407	6306	17191	HMDB0000172
ksi	C00573	446715		HMDB0001165
ksi_deg1				
ksii_core2				
ksii_core4				
lac_L	C00186	107689	422	HMDB0000190
lcts	C00243	84571	36219	HMDB0000186
leuktrB4	C02165	5280492	15647	HMDB0001085
leuktrC4	C02166	5280493	16978	HMDB0001198
leuktrD4	C05951	6435286	1044940	HMDB0003080
leuktrE4	C05952	5280749	15650	HMDB0002200
leuktrF4	C06462	5280938		HMDB0006465
leu_L	C00123	6106	15603	HMDB0000687
lgnc	C08320	11197	28866	HMDB0002003
limnen	C00521	439250	15383	HMDB0003375
lipoate	C00725	6112	30314	HMDB0001451
lneldc		5282457		
lnlc	C01595	5280450	17351	HMDB0000673
lnlnca	C06427	5280934	27432	HMDB0001388
lnlncg	C06426	5280933	28661	HMDB0003073
lpchol_hs				
mag_hs				
malt	C00208	10991489	47937	HMDB0000163
malttr	C01835	439586	27931	HMDB0001262
mepi	C05588	21100	144365	HMDB0004063
mercplaccys		193536		HMDB0006512
n2m2nmasn	G00019			
nac	C00253	938	15940	HMDB0001488
ncam	C00153	936	17154	HMDB0001406
nifedipine	C07266	4485	7565	
no	C00533	145068	16480	HMDB0003378
npthl	C00829	931	16482	HMDB0029751
nrpphrsf		123747		HMDB0002062
nrvnc	C08323	5281120	44247	HMDB0002368
oagd3_hs				
oagt3_hs				
ocdca	C01530	5281	28842	HMDB0000827
ocdcea	C00712	445639	16196	HMDB0000207
octa	C06423	379	28837	HMDB0000482
omeprazole	C07324	4594	7772	HMDB0001913
onpthl		108063	52431	HMDB0006215
paf_hs	C04598	16759362	847856	HMDB0011148
peplys	C02188			
perillyl	C02452	10819	15420	HMDB0003634
pheacgln	C04148	92258	17884	HMDB0006344
phe_L	C00079	6140	17295	HMDB0000159
pheme	C00032		17627	HMDB0003178
phyQ	C02059	5280483	583972	HMDB0003555
phyt	C01607	26840	16285	HMDB0000801
pnto_R	C00864	988	7916	HMDB0000210
pro_L	C00148	145742	17203	HMDB0000162
prostgd2	C00696	448457	15555	HMDB0001403
ps_hs		6323481	18303	HMDB0014291
ptdca	C16537	13849		HMDB0000826
pydam	C00534	1052	16410	HMDB0001431
pydx	C00250	1050	17310	HMDB0001545
pydxn	C00314	1054	16709	HMDB0000239
rbt	C00474		15963	HMDB0000508
retfa				
retinol	C00473	445354	17336	HMDB0000305
retinol_9_cis	C00473	445354	17336	HMDB0000305
retinol_cis_11	C00899	5280382	16302	HMDB0006216
retn	C00777	444795	15367	HMDB0001852
retnglc	C11061	5281877	28870	HMDB0003141
rib_D	C00121	5779	16988	HMDB0000283
s2l2fn2m2masn	G00018			
s2l2n2m2masn				
sel		26473	15075	HMDB0062761
ser_D	C00740	71077	16523	HMDB0003406
sl_L	C11499	443233	16712	HMDB0060176
spc_hs	C03640	5280613	52897	HMDB0006482
sph1p	C01120	644260	16893	HMDB0001383
sphs1p	C06124	5353956	392583	HMDB0000277
strdnc	C16300	5312508	32389	HMDB0006547
sucr	C00089	5988	17992	HMDB0000258
tagat_D	C00795	92092	47693	HMDB0003418
taxol	C07394	36314	45863	HMDB0015360
tcynt	C01755	9322	18022	HMDB0001453
tdchola	C05465	387316	16525	HMDB0000951
tethex3		53481586		HMDB0013025
tetpent3		52921801		
tetpent6		14505435		
tettet6		152972		
thm	C00378	1130	18385	HMDB0000235
thmmp	C01081	3382778	37574	HMDB0002666
thmtp	C03028	511	9534	HMDB0001512
thymd	C00214	5789	17748	HMDB0000273
thyox_L	C01829	5819	18332	HMDB0000248
tmndnc	C06428	446284	28364	HMDB0001999
tolbutamide	C07148	5505	27999	HMDB0015256
tre	C01083	7427	16551	HMDB0000975
triodthy	C02465	5920	18258	HMDB0000265
triodthysuf		122196	35432	
trp_L	C00078	6305	16828	HMDB0000929
tststerone	C00535	6013	17347	HMDB0000234
tststeroneglc	C11134	108192	28835	HMDB0003193
tststerones		119207	84094	HMDB0002833
tsul	C00320	1084	16094	HMDB0000257
ttdca	C06424	11005	28875	HMDB0000806
txa2	C02198	5280497	15627	HMDB0001452
tymsf		153005	133530	HMDB0006409
Tyr_ggn				
tyr_L	C00082	6057	17895	HMDB0000158
ump	C00105	6030	16695	HMDB0000288
urate	C00366	1175	17775	HMDB0000289
vacc	C08367	5281127	28727	HMDB0003231
val_L	C00183	6287	16414	HMDB0000883
vitd2	C05441	5280793	28934	HMDB0000900
vitd3	C05443	10883523	283119	HMDB0000876
whddca	C08317	79034	39567	HMDB0002059
whhdca		7058075	55329	HMDB0006294
whtststerone		16395893		
whttdca				
xolest_hs				
xolest2_hs				
xoltri24		11954196		
xoltri25	C15520	11954197	37623	HMDB0006280
xoltri27	C06341	440985	18431	HMDB0006281
xyl_D	C00181	135191	53455	HMDB0000098
xylt	C00379	6912	1305691	HMDB0002917
f1a				
fuc1p_L	C02985	439871	28319	HMDB0001265
gdpfuc	C00325	439211	17009	HMDB0001095
n2m2masn	G00015			
fn2m2masn	G00016		32984	
ddcaACP	C05223			
ddca	C02679	3893	30805	HMDB0000638
myrsACP	C05761			
tdeACP				
ttdcea		68344		
palmACP	C05764			
hdeACP				
ocdcaACP				
octeACP				
lnlcACP				
lneldcACP				
ocdcyaACP				
ocdcya				
ptdcacoa				
hpdcacoa		3082004		
pristcoa		25137904	64039	
phytcoa	C02060	439640	15538	
Sfglutth	C01031	189122	16225	HMDB0001550
fdp	C00354	172313	16905	HMDB0001058
f1p	C01094	10400369	704854	HMDB0001076
glyald	C02154	751	5445	HMDB0001051
xu1p_D		14844436	71687	HMDB0006534
gcald	C00266	756	17071	HMDB0003344
tag1p_D		6101730		
f6p	C00085	69507	15946	HMDB0000124
f26bp	C00665	105021	28602	HMDB0001047
ppp9	C02191		15430	HMDB0000241
formcoa	C00798	439313	15522	HMDB0003419
Lfmkynr	C02700	439788	30249	HMDB0060485
Lkynr	C00328	161166	16946	HMDB0000684
ggdp		735		
ttc_ggdp		5281909		
5forthf	C00664	530	15639	HMDB0001534
methf	C00445	644350	15636	HMDB0001354
4fumacac	C01061	5280398	30907	HMDB0001268
acngalacglcgalgluside_hs				
fucgalacglc13galacglcgal14acglcgalgluside_hs				
fucfucgalacglc13galacglcgal14acglcgalgluside_hs				
acngal14acglcgalgluside_hs	C04936		36528	
fucfucgalacglcgal14acglcgalgluside_hs				
fuc132galacglcgal14acglcgalgluside_hs	G00089			
m2mpdol_L				
m3mpdol_L				
m2mpdol_U				
m3mpdol_U				
m1mpdol_L	C05861	24892766		HMDB0062446
m1mpdol_U		45259177		HMDB0062768
ksi_pre14				
ksi_pre17				
ksi_pre20				
ksi_pre23				
ksi_pre26				
ksi_pre29				
ksi_pre32				
ksi_pre35				
ksi_pre36				
ksii_core4_pre1				
ksii_core4_pre6				
ksii_core4_pre9				
ksii_core4_pre10				
ksii_core2_pre1				
ksii_core2_pre6				
ksii_core2_pre9				
ksii_core2_pre10				
ksi_pre5				
ksi_pre8				
ksi_pre11				
l2fn2m2masn	G00017			
dtdpglu	C00842	439324	35248	HMDB0001328
glyc3p	C00093	439162	15978	HMDB0000126
glu5sa	C01165	193305	17232	HMDB0002104
1pyr5c	C03912	1196	371	
glu5p	C03287	193475	17798	HMDB0001228
6pgl	C01236	439452	16938	HMDB0001127
gudac	C00581	763	16344	HMDB0000128
gacpail_hs				
ksi_deg26				
ksi_deg27				
ksi_deg29				
ksi_deg30				
ksi_deg32				
ksi_deg33				
ksi_deg35				
ksi_deg36				
ksi_deg38				
ksi_deg39				
ksi_deg40				
ksi_deg41				
ksii_core2_deg2				
ksii_core2_deg3				
ksii_core2_deg5				
ksii_core2_deg6				
ksii_core2_deg8				
ksii_core2_deg9				
l2n2m2mn				
ksii_core4_deg2				
ksii_core4_deg3				
ksi_deg5				
ksi_deg6				
ksi_deg8				
ksi_deg9				
ksi_deg11				
ksi_deg12				
ksi_deg14				
ksi_deg15				
ksi_deg17				
ksi_deg18				
ksi_deg20				
ksi_deg21				
ksi_deg23				
ksi_deg24				
gm3_hs	C04730	20057283		HMDB0004842
gd3_hs	C06133	20057321		HMDB0004911
gt3_hs	C06299		28541	
gal1p	C03384	439995	37480	HMDB0062705
cs_hs_linkage				
cs_pre				
cs_a_b_pre2				
cs_a_b_pre3				
cs_c_pre2				
cs_c_pre3				
cs_d_pre3				
cs_d_pre4				
cs_e_pre3				
cs_e_pre4				
galt	C01697	11850	16813	HMDB0000107
lxser	G00155			
l2xser	C04825			
xser	C02399			
udpg	C00029	53477679		HMDB0000286
gar	C03838	160913	18349	HMDB0002022
fgam	C04376	130805		HMDB0001308
glyclt	C00160	757	17497	HMDB0000115
lpam	C00248	863	17460	HMDB0000962
alpam		24906333	50622	HMDB0006239
dhlam	C00579	663	17694	HMDB0000985
lpro	C02051		15804	
alpro	C01242		16882	
dhlpro	C02972		16194	
gdpddman	C01222	439446	16955	HMDB0001346
5oxpro	C01879	7405	18183	HMDB0000267
ggn	C01702			
3htmelys	C01259	439460	15786	HMDB0001422
4tmeabut	C01149	133	18020	HMDB0001345
glac	C02670	2724333	18268	HMDB0006355
glcr	C00818	33037	16002	HMDB0000663
glygn1				
hs_deg9				
glcur	C00191	444791	42717	HMDB0000127
hs_deg10				
cs_a_deg2				
cs_a_deg3				
cs_c_deg2				
cs_c_deg3				
cs_d_deg3				
cs_d_deg4				
cs_e_deg3				
cs_e_deg4				
ha_deg1				
cs_b_pre4				
hs_pre10				
hs_pre11				
cs_a_b_e_pre1				
udpglcur	C00167	17473	17200	HMDB0000935
cs_c_d_e_pre1				
cs_d_pre2				
cs_e_pre2				
hs_pre1				
hs_pre2				
hs_pre3				
hs_pre4				
hs_pre5				
hs_pre6				
hs_pre7				
hs_pre8				
hs_deg3				
hs_deg4				
hs_deg8				
hs_deg14				
hs_deg15				
hs_deg20				
hs_deg21				
hs_deg24				
hs_deg25				
hs_pre9				
naglc2p_L	C04500	11953837		HMDB0001445
naglc2p_U				
dxtrn				
glygn3				
guln	C00800	152304	16154	HMDB0003290
gullac	C01040	439373	17587	HMDB0003466
glucys	C00669	123938	17515	HMDB0001049
forglu	C00439	439233	7274	HMDB0000854
pram	C03090	439905	37737	HMDB0001128
glyc_R	C00258	439194	32398	HMDB0000139
lgt_S	C03451	440018	15694	HMDB0001066
xmp	C00655	73323	15652	HMDB0001554
6pgc	C00345	91493	48928	HMDB0001316
ru5p_D	C00199	439184	17363	HMDB0000618
g3pc	C00670	71920	16870	HMDB0000086
em2emgacpail_prot_hs				
gpi_prot_hs				
mgacpail_hs				
ahdt	C04895	121885	18372	HMDB0000980
xan	C00385	1188	17712	HMDB0000292
glcur1p	C05385	440650	35145	HMDB0003976
emgacpail_hs				
m2gacpail_hs				
m3gacpail_hs				
em3gacpail_hs				
emem2gacpail_hs				
em2emgacpail_hs				
m3emgacpail_hs				
gpi_hs				
mem2emgacpail_hs				
pre_prot				
hexccrn		53477828		
4mlacac	C01036	5280393	47904	HMDB0002052
urcan	C00785	736715	30817	HMDB0000301
im4act	C05130	150841	27398	HMDB0003905
ppbng	C00931	1021	17381	HMDB0000245
hmbil	C01024	788	16645	HMDB0001137
hmgcoa	C00356	439218	15467	HMDB0001375
mev_R	C00418	449	25351	HMDB0000227
phyt2ohcoa		11966142		
hpdcacrn		53477803	131887	HMDB0006210
hpyr	C00168	964	30841	HMDB0001352
hs_deg1				
hs_deg2				
hs_deg6				
hs_deg7				
hs_deg12				
hs_deg13				
hs_deg18				
hs_deg19				
cortsn	C00762	222786	16962	HMDB0002802
andrstndn	C00280	6128	16422	HMDB0000053
cholcoaone	C05467	440690	27379	HMDB0006891
eandrstrn	C05139	102030	27771	HMDB0000352
andrstandn	C00674	222865	15994	HMDB0000899
prgnlone	C01953	53477678	16581	HMDB0000253
17ahprgnlone	C05138	91451	28750	HMDB0000363
17ahprgstrn	C01176	6238	17252	HMDB0000374
xol7a	C03594	53477732	17500	HMDB0001496
hs	C00925	53477714		HMDB0000693
pyam5p	C00647	1053	18335	HMDB0001555
3ityr_L	C02515	439744	27847	HMDB0000021
iodine	C01382	807	17606	HMDB0000675
35diotyr	C01060	9305	15768	HMDB0003474
hs_deg5				
idour	C06472	18845	24769	HMDB0002704
hs_deg16				
hs_deg17				
hs_deg22				
hs_deg23				
cs_b_deg3				
im4ac	C02835	96215	16974	HMDB0002024
itacon	C00490	811	30838	HMDB0002092
4izp	C03680	128	27384	HMDB0001014
xylu_D	C00310	5289590	17140	HMDB0001644
anth	C00108	227	30754	HMDB0001123
4aphdob	C01252	472	17442	HMDB0000978
kynate	C01717	3845	18344	HMDB0000715
3spyr	C05528	440717	16894	HMDB0004045
nformanth	C05653	101399	36575	HMDB0004089
lgnccrn				
cs_a_deg5				
cs_c_deg5				
cs_e_deg7				
lneldccrn		53477834		
lnlccrn		6450015	84098	HMDB0006469
lnlncacrn		53477821		HMDB0006319
lnlncgcrn		53477819		HMDB0006318
lanost	C01724	246983	16521	HMDB0001251
Ssq23epx	C01054	53477723	15441	HMDB0001188
thp2c		165067	49015	HMDB0012130
pd3	C07711	11199982		HMDB0006500
lum3		111049		HMDB0006505
trypta	C00398	1150	16765	HMDB0000303
Nmelys	C03702			
Ndmelys	C05545  	4478779		HMDB0013287
Ntmelys	C05546			
6a2ohxnt	C03239	439954	17534	HMDB0012151
nm4masn				
nm2masn				
m4masn				
n3m2masn				
n4m2masn				
m7masnB				
m8masn				
3mldz	C05827	193545	28104	HMDB0004181
normete_L	C05589	1237	144308	HMDB0000819
3mgcoa	C03231	5462214	15488	HMDB0001057
mercplac	C05823	160645		HMDB0002127
malACP	C01209			
5mdru1p	C04582	174549	28096	HMDB0001299
mescon	C01732	638129	16600	HMDB0000749
mescoa	C06028	11966166	27969	HMDB0060124
fna5moxam	C05642	171161		HMDB0004259
6hoxmelatn	C05643	1864	308079	HMDB0004081
5pmev	C01107	439400	17436	HMDB0001343
mhista	C05127	3614	29009	HMDB0000898
mi13456p	C01284		16322	HMDB0003529
minohp	C01204	890	17401	HMDB0003502
mi1345p	C01272	107758	16783	HMDB0001059
mi134p	C01243	439455	18228	HMDB0001143
mi1346p	C04477	0	16155	HMDB0001187
mi13p	C04062		18225	HMDB0006234
mi34p	C04063	440211	28858	HMDB0006235
mi1p_D	C01177		18297	HMDB0002985
mi1456p	C11555	443266	16067	HMDB0004527
mi145p	C01245	439456	16595	HMDB0001498
mi14p	C01220		17816	HMDB0000968
mi4p_D	C03546	0	18384	HMDB0001313
mi3456p	C04520	121920	15844	HMDB0003848
mi3p_D	C04006		18169	HMDB0000213
2mcacn		3080625		
micit		5459784		
m5masnC				
m5masnB2				
m6masnA				
m6masnB1				
m7masnC				
mmcoa_S	C00683	439291	15466	HMDB0001269
mmcoa_R	 C01213 	22833590		HMDB0002255
5mta	C00170	439176	17509	HMDB0001173
5mdr1p	C04188	53477720	27859	HMDB0000963
4aabutn	C02946	18189	17645	HMDB0003681
ksi_deg7				
ksi_deg10				
ksi_deg13				
ksi_deg16				
ksi_deg19				
ksi_deg22				
ksi_deg25				
ksi_deg28				
ksi_deg31				
ksi_deg34				
cs_a_deg1				
ksi_deg37				
ksii_core2_deg4				
ksii_core2_deg7				
ksii_core4_deg4				
cs_a_deg4				
cs_b_deg1				
cs_b_deg2				
cs_c_deg1				
cs_c_deg4				
cs_d_deg1				
cs_d_deg2				
cs_d_deg5				
cs_d_deg6				
cs_e_deg2				
cs_e_deg6				
carn	C00386	439224	15727	HMDB0000033
nicrns	C05841	161234	27748	HMDB0006809
nicrnt	C01185	53477721	15763	HMDB0001132
nmn	C00455	14180	16171	HMDB0000229
nmptrc	C02723	439791	17166	HMDB0003661
1mpyr		0	27435	HMDB0060253
nwharg	C05933	440849	7101	HMDB0004224
r1p	C00620	439236	16300	HMDB0001489
nrvnccrn				
sT_antigen	C04901		16565	
xtsn	C01762	64959	18107	HMDB0000299
dimp	C06196	91531	28806	HMDB0006555
xtp	C00700	439296	10049	HMDB0000293
orot5p	C01103	160617	15842	HMDB0000218
xoltetrol	C05446	193321	17278	HMDB0001231
thcholst	C01301	439479	48940	
thcholstoic	C04722	23657849	48043	HMDB0003873
xol7ah3	C05444	53481409	28540	HMDB0012455
xol7ah2al	C05445	53477906	27428	HMDB0006894
xol27oh	C06340	123976	387060	HMDB0002103
xol24oh	C13550	121948	34310	HMDB0001419
hnifedipine	C07266	4485	7565	HMDB0015247
12harachd		5312983		HMDB0006111
wharachd	C14748	5283157	34306	HMDB0005998
leuktrB4woh	C04853	5280745	15646	HMDB0001509
18harachd		11141754	91132	HMDB0006245
leuktrB4wcooh	C05950	5280877	27562	HMDB0006059
20ahchsterol	C05500	440711	1296	HMDB0006283
pac	C07086	999	30745	HMDB0000209
phaccoa	C00582	165620	15537	HMDB0006503
pail45p_hs	C04637		28910	
pail4p_hs	C01277		17526	
pan4p	C01134	987	16858	HMDB0001416
ptth	C00154	15667	15525	HMDB0001338
am6sa	C03824	5280625	15745	HMDB0001280
pcollglys	C16740			
pcollg5hlys	C16741	3032849	18040	HMDB0000450
pdx5p	C00627	1055	28803	HMDB0001319
pydx5p	C00018	1051	18405	HMDB0001491
peamn	C05332	1001	18397	HMDB0012275
pacald	C00601	998	16424	HMDB0006236
pecgoncoa		443846		
3php	C03232	105	30933	HMDB0001024
prostgh2	C00427	445049	15554	HMDB0001381
prostgi2	C01312	5282411	15552	HMDB0001335
2pglyc	C00988	529	17150	HMDB0000816
pgp_hs				
1p3h5c	C04281	1059	27391	HMDB0001369
phpyr	C00166	997	30851	HMDB0000205
thbpt4acam	C15522	129803	15374	HMDB0002281
pail345p_hs	C05981		16618	HMDB0004249
pail34p_hs	C11554		16152	
pail3p_hs	C04549	6857403	17283	HMDB0003850
pail35p_hs	C11556			
pail5p_hs	C11557		16500	
pepslys				
tmlys	C03793	440120	17311	HMDB0001325
ppmi12346p	C11526		30164	HMDB0006229
ppmi1346p	C18058	890		
rnam	C03150	439924	15927	HMDB0000855
cysam	C01678	6058	17141	HMDB0002991
4ppan	C03492	131	15905	HMDB0001016
4ppcys	C04352	440304	15769	HMDB0001117
prpncoa	C00894	439340	15513	HMDB0002307
2hyoxplac	C05852	11970	28478	HMDB0000669
fpram	C04640	440417	18413	HMDB0000999
prgnlones		20845972		HMDB0000774
4hpro_LT	C01157	5810	18095	HMDB0000725
pser_L	C01005	68841	15811	HMDB0000272
ptdcacrn				
6pthp	C03684	128973	17804	HMDB0001195
pylald	C02576	16441	15421	HMDB0003647
peracd	C11924	1256	36999	HMDB0004586
quln	C03722	1066	16675	HMDB0000232
retinal_cis_13		6436079	45487	HMDB0006220
retinal_11_cis	C02110	5280490	16066	HMDB0002152
retinal_cis_9	C00376	638015	17898	HMDB0001358
rbl_D	C00309	151261	17173	HMDB0000621
retinol_cis_13	C19962	9904001	45479	HMDB0006221
retncoa		14232703		HMDB0006508
trdrd	C00342		15967	
trdox	C00343		18191	
xu5p_D	C00231	439190	16332	HMDB0000868
Rtotal2crn				
Rtotal3crn				
Rtotalcrn				
cs_d_pre5				
cs_b_pre5				
hs_pre12				
hs_pre13				
hs_pre14				
hs_pre15				
hs_deg11				
cs_e_pre5a				
cs_e_pre5b				
cs_e_deg1				
cs_e_deg5				
ksi_deg4				
ksii_core2_deg1				
ksii_core4_deg1				
saccrp_L	C00449	160556	16927	HMDB0000279
sbt_D	C00794	5780	17924	HMDB0000247
selhcys	C05698	440763		HMDB0004119
dtt	C00265	262	62064	HMDB0003156
selcys	C05688	25076	16633	HMDB0003288
dttOX	C01119	439407	42147	HMDB0059664
seln	C01528	533	16503	HMDB0011110
selcyst	C05699	98223	26630	HMDB0006343
selmeth	C05335	15103	27585	HMDB0003966
selnp	C05172	1092	29269	HMDB0003840
hxdcal	C00517	984	17600	HMDB0001551
acngalgbside_hs				
sphmyln_hs				
spmd	C00315	1102	16610	HMDB0001257
sql	C00751	11975273	15440	HMDB0000256
f5hoxkyn	C05647	440743	28736	HMDB0012948
nmthsrtn	C06212	150885	48294	HMDB0004369
gm1b_hs	G00125			
gd1a_hs	C04927		18163	
gt1b_hs	C06140		28058	
gt1alpha_hs	G00128			
gq1c_hs	G00121			
strdnccrn		53477835		
t2m26dcoa	C11945 	53477851		HMDB0006530
34dhcinm	C01197	689043	16433	HMDB0003501
s7p	C00281	22833559	15721	HMDB0001068
e4p	C00279	122357	48153	HMDB0001321
thmpp	C00068	1132	9532	HMDB0001372
dtdp4d6dg	C11907	443496	16620	HMDB0001399
dtdp4d6dm	C00688	439293	15744	
dtdprmn	C03319	439975	35452	HMDB0006354
tetpent3crn				
tetpent6crn				
tettet6crn				
phom	C01102	151187	15961	HMDB0003484
tmndnccrn				
ts3		5283713		HMDB0006560
ttdcrn		53477791		
tym	C00483	5610	15760	HMDB0000306
udpxyl	C00190	439179	16082	HMDB0001018
ahandrostan	C04373	5880	28195	HMDB0000490
uppg3	C01051	1179	15437	HMDB0001086
HC00229	C00252	5460022	28189	
HC00250	C00283	402	16136	HMDB0003276
HC01104	C03360	378	17440	
HC01361	C04874	659	17001	HMDB0002275
HC01440	C05394	440653	27453	HMDB0001385
HC01441	C05396			
HC01444	C05401	656504	15754	HMDB0006790
HC01446	C05403	440659		HMDB0001030
HC01577	C05711	53297342	10565	HMDB0060478
HC01609	C05766	440775	28766	HMDB0002211
cpppg1	C05768	440776	28607	HMDB0002158
HC01700	C06114	440920	28092	HMDB0060477
HC02160	C04884	20057332		HMDB0004936
HC02161	C04911		18216	HMDB00117
HC02119	C01137	439415	15625	HMDB0000988
HC00822	C01674	22833609		HMDB0003556
HC00617	C00996		18097	
HC00619	C00999			
HC01672	C05993	440867	37666	HMDB0006880
HC01434	C05379	972	7815	HMDB0003974
HC00591	C00940	48	30882	HMDB0001552
HC01651	C05922	440840	58104	HMDB0006822
HC01435	C05381	440649	1463	HMDB0006744
HC01118	C03428	5280592	15442	HMDB0001278
HC01496	C05520	440714		
HC01668	C05983	440863	62415	HMDB0006806
HC01162	C03691	53481387	18098	HMDB0012206
HC01408	C05269	440610	27648	HMDB0003943
HC00342	C00417	643757	32805	HMDB0000072
HC01161	C03688			
HC00682	C01136	1076	16807	HMDB0001526
HC00695	C01169	439425	17432	HMDB0001177
